Samples,Methanethiol,Acetoin,Pyridine,Pentanol,Hexanal,"Pyridine, 2-methyl-",Hexanol,"Pyrazine, 2,3-dimethyl-","Hepten-2-one, 6-methyl-5-","Octanediol, 2,4-","Pyrazine, 2,6-diethyl-","Benzenediol, 4-ethyl-1,3-","Octanol, 2-butyl-1-","Pyrazine, 2,3-diethyl-5-methyl-","Phenol, 3,5-dimethyl-"
LC1,46084.29,0,0,80360.1,0,0,0,0,0,0,0,0,0,0,0
LC2,2563.47,47332.64,0,80439.22,465569.3,1256.28,7481.18,5747.52,0,1749.35,11365.95,0,1355.38,0,1054.79
LC3,0,207113.95,14671.13,35388.32,0,1965.17,10052.47,0,0,0,0,0,3910.35,0,2061.41
LC4,32086.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC5,20593.67,265112.3,0,0,0,0,5290.99,0,0,0,28192.23,2891.82,0,0,0
LC6,5194.47,140335.69,9688.09,88339.35,0,4527.06,13040.27,11076,5197.24,2383.44,16886.86,0,0,0,1547.7
LC7,0,46533.2,3599.07,74910.28,324626.77,646.18,6343.27,2749.68,2772.17,1503.11,0,0,820.23,0,632.24
LC8,0,353454.65,0,20748.35,0,0,0,0,6907.54,0,0,4950.93,0,0,0
LC9,0,0,0,0,0,0,0,0,0,0,0,0,959.88,0,0
LC10,3212.53,151478.02,10781.11,125553.86,0,0,13646.38,3990.11,0,2232.58,0,4013.94,2778.89,0,1596.74
LC11,4178.69,97801.05,0,33792.36,628977.89,0,3129.52,0,0,0,7111.8,1347.69,255.38,0,0
LC13,0,0,0,9654.95,0,0,13125.75,0,0,0,0,742.2,0,0,0
LC14,0,67322.24,6984.07,125370.9,453149.41,0,16908.68,0,0,0,0,3542.34,0,0,1392.93
LC15,2727.46,84064.86,7276.26,53146.16,0,3414.26,9853.66,0,3565.28,0,16437.51,3516.81,4024.09,507.46,934.79
LC16,4120.59,76645.73,11169.44,158901.63,0,0,14351.93,0,0,1878.48,0,4108.82,1724.83,0,1624.73
LC17,3970.49,70317.1,14113.23,109097.5,0,1231.31,13695.53,0,4882.9,2250.69,0,5738.37,0,134.14,1829.69
LC19,1744.14,38570.73,6712.12,28692.05,0,0,0,1653.25,616.62,0,0,0,3639.84,0,635.36
LC20,0,104584.56,11159.35,110133.03,0,0,10349.05,0,0,0,0,0,6979.94,0,2789.3
LC21,0,0,0,49547.4,652551.17,0,8776.3,0,0,722.85,0,1168.23,0,243.3,517.41
LC22,4966.02,185869.38,13750.34,80999.64,0,1793.07,16242.54,5157.72,0,0,0,6416.76,4034.03,284.45,0
LC23,2390.73,127778.23,7792.79,51481.05,278506.8,924.18,8323.18,0,0,0,0,3795.78,0,0,1452.9
