Hit Name,AURORA1,AURORA2,AURURA5,Charentais2,Charentais3,Charentais5,Crane1,Crane2,Crane3,Crane5,Diplo1,Diplo2,Diplo3,Diplo4,Edisto1,Edisto3,Halona1,Halona2,Halona3,Halona4,Halona5,HBush1,HBush2,HBush4,HBush5,HOrange1,HOrange3,HOrange4,HOrange5,IchibaKouji,IchibaKouji2,IchibaKouji3,Kajari1,Kajari2,Kajari3,Koljo1,Koljo3,Koljo5,Korean1,Korean2,Korean3,Korean4,Midget1,Midget2,Midget3,Midget5,Milan1,Milan2,Milan3,Milan4,Milan5,OHoneydew21,OHoneydew29,OHoneydew2,PMR1,PMR2,PMR3,PMR5,WMR3,WMR4
"1-Butanol, 2-methyl-",0,29.48859936,24.53341695,53.24108609,38.88214654,25.62024264,23.30043538,23.73793258,22.36600467,19.60428274,62.33143535,137.6871572,143.10914,59.56338229,0,0,47.43736613,28.75820591,35.92117665,24.4611787,24.84984521,53.55282455,0,26.59801713,35.49353593,14.46878246,9.925587215,12.76221158,11.86781759,0,0,0,22.77227701,35.08491211,43.32965268,0,0,26.53839982,5.391194316,7.955114694,4.913696479,3.217731301,29.90602543,0,0,39.28058901,45.75416667,63.68595251,68.61883391,74.27694493,50.5175991,8.917894142,28.81185063,0,42.72251808,44.13975771,0,22.3330868,4.033958596,0
"Propanoic acid, 2-methyl-, ethyl ester",0,0,0,0,23.10930107,4.83674456,0,0,0,0,0,0,0,0,0,0,0,6.065548227,0,0,0,0,0,0,0,0,0,0,9.163462967,0,0,0,30.7149922,0,0,14.17415606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetoin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Pentanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butanoic acid, 2-methyl-, methyl ester",24.10662264,0,13.38090709,17.61691788,9.332693373,13.42364588,3.40036374,0,0,4.969738854,0,20.13962201,14.78338341,5.212131011,0,0,10.66963818,10.52920686,0,2.828625261,4.658435363,17.26305158,0,6.915840292,7.864910399,3.09325485,0,0,0,0,0,0,0,0,0,0,0,2.122394923,0,0,0,0,10.78030559,0,0,37.38990151,12.6849986,11.89467985,6.789796713,9.396819036,6.27424874,0,5.195149172,0,9.961744897,8.186713588,0,3.154489218,0,0
"2,3-Butanediol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butanoic acid, ethyl ester",0,0,0,26.27414084,42.38259823,45.8752307,9.629940681,24.13589012,0,8.856636596,0,0,0,0,0,0,6.997162669,12.89620665,13.85771081,23.37246377,0,29.53963526,0,0,0,0,0,0,0,0,0,0,0,6.629286654,0,0,0,0,0,0,0,0,12.41635407,0,0,0,0,0,0,0,0,0,0,0,25.99216135,5.000398512,0,0,0,0
Hexanal,0,42.24050947,55.04981254,0,0,0,0,0,9.453825637,0,11.98311828,25.42436452,35.5652263,4.706325345,11.34773254,18.13925519,0,0,0,0,0,0,0,7.230431149,14.89650641,0,0,0,0,22.53093438,12.55153734,0,0,0,0,0,6.079453994,0,2.554556302,0,3.396823634,1.653090122,0,0,15.17989779,4.671311907,0,9.020814304,10.38924964,7.324429079,8.522687467,0,5.665530766,0,0,0,0,2.425421198,0,4.928400955
2-Heptanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol, 2-(methylthio)-",0,0,0,0,0,0,0,0,0,0,0,0,0,1.917005172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
