Hit Name,Aurora1,Aurora2,AURURA5,Charentais2,Charentais3,Charentais5,Crane1,Crane2,Crane3,Crane5,Diplo1,Diplo2,Diplo3,Diplo4,Edisto1,Edisto3,Halona1,Halona2,Halona3,Halona4,Halona5,HBush1,HBush2,HBush4,HBush5,HOrange1,HOrange3,HOrange4,HOrange5,IchibaKouji,IchibaKouji2,IchibaKouji3,Kajari1,Kajari2,Kajari3,Koljo1,Koljo3,Koljo5,Korean1,Korean2,Korean3,Korean4,Midget1,Midget2,Midget3,Midget5,Milan1,Milan2,Milan3,Milan4,Milan5,OHoneydew21,OHoneydew29,OHoneydew2,PMR1,PMR2,PMR3,PMR5,WMR3,WMR4
"1-Butanol, 2-methyl-",0,29.5,24.5,53.2,38.9,25.6,23.3,23.7,22.4,19.6,62.3,137.7,143.1,59.6,0,0,47.4,28.8,35.9,24.5,24.8,53.6,0,26.6,35.5,14.5,9.9,12.8,11.9,0,0,0,22.8,35.1,43.3,0,0,26.5,5.4,8,4.9,3.2,29.9,0,0,39.3,45.8,63.7,68.6,74.3,50.5,8.9,28.8,0,42.7,44.1,0,22.3,4,0
"Propanoic acid, 2-methyl-, ethyl ester",0,0,0,0,23.1,4.8,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,30.7,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butanoic acid, 2-methyl-, methyl ester",24.1,0,13.4,17.6,9.3,13.4,3.4,0,0,5,0,20.1,14.8,5.2,0,0,10.7,10.5,0,2.8,4.7,17.3,0,6.9,7.9,3.1,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,10.8,0,0,37.4,12.7,11.9,6.8,9.4,6.3,0,5.2,0,10,8.2,0,3.2,0,0
Hexanal,0,42.2,55,0,0,0,0,0,9.5,0,12,25.4,35.6,4.7,11.3,18.1,0,0,0,0,0,0,0,7.2,14.9,0,0,0,0,22.5,12.6,0,0,0,0,0,6.1,0,2.6,0,3.4,1.7,0,0,15.2,4.7,0,9,10.4,7.3,8.5,0,5.7,0,0,0,0,2.4,0,4.9
"Butanoic acid, ethyl ester",0,0,0,26.3,42.4,45.9,9.6,24.1,0,8.9,0,0,0,0,0,0,7,12.9,13.9,23.4,0,29.5,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0
"Butanoic acid, 2-methyl-, ethyl ester",0,0,0,287.1,304.2,114.5,11,0,0,9.2,12.3,22.8,24.7,0,0,0,15.9,110.9,79.2,120.8,12.9,29.3,0,11.1,22.8,17.4,0,0,0,0,0,0,0,54.3,0,0,0,0,0,0,0,0,69.7,0,0,22.2,22,0,0,0,0,0,4.4,0,78.5,0,0,0,0,0
"2-Hexenal, (E)-",0,39.1,42.4,0,0,0,0,0,0,0,0,0,0,0,4.8,8.5,0,0,0,0,0,0,4.4,0,0,0,0,0,0,7.1,8.5,0,0,0,0,0,8.9,0,4.5,5.8,4.2,3.1,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,4.3
"3-Hexen-1-ol, (E)-",0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,34.5,42.1,21,8.9,0,0,0,31.4,0,15.4,0,0
1-Hexanol,14.7,0,1.7,64.8,25.2,26,14,33,33.9,5.7,0,25.7,16.6,0,0,0,11.1,14.3,30.6,38.6,6.4,50.3,0,6.9,13.4,11.8,6.9,11.3,8.9,0,0,0,16.1,35.2,21.8,13.5,6.6,6.6,0,0,0,0,14.4,3.7,2.5,0,24.5,12.5,8.3,11.9,10.9,4.2,5.4,0,36.6,12.5,1.7,2.9,2.2,2.2
"1-Butanol, 2-methyl-, acetate",0,0,0,0,0,3.2,0,3.1,0,0,0,7.9,6.8,0,0,0,3.4,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
